,0,1,accuracy,macro avg,weighted avg,name
precision,0.7272727272727273,0.7142857142857143,0.72,0.7207792207792207,0.7205194805194804,RFC
recall,0.6666666666666666,0.7692307692307693,0.72,0.717948717948718,0.72,RFC
f1-score,0.6956521739130435,0.7407407407407408,0.72,0.7181964573268922,0.719098228663446,RFC
support,24.0,26.0,0.72,50.0,50.0,RFC
precision,0.5909090909090909,0.6071428571428571,0.6,0.599025974025974,0.5993506493506494,DTC
recall,0.5416666666666666,0.6538461538461539,0.6,0.5977564102564102,0.6,DTC
f1-score,0.5652173913043478,0.6296296296296297,0.6,0.5974235104669887,0.5987117552334944,DTC
support,24.0,26.0,0.6,50.0,50.0,DTC
