,ECG_Rate_Mean,HRV_RMSSD,HRV_MeanNN,HRV_SDNN,HRV_SDSD,HRV_CVNN,HRV_CVSD,HRV_MedianNN,HRV_MadNN,HRV_MCVNN,HRV_IQRNN,HRV_pNN50,HRV_pNN20,HRV_TINN,HRV_HTI,HRV_LF,HRV_HF,HRV_VHF,HRV_LFHF,HRV_LFn,HRV_HFn,HRV_LnHF,HRV_SD1,HRV_SD2,HRV_SD1SD2,HRV_S,HRV_CSI,HRV_CVI,HRV_CSI_Modified,HRV_PIP,HRV_IALS,HRV_PSS,HRV_PAS,HRV_GI,HRV_SI,HRV_AI,HRV_PI,HRV_C1d,HRV_C1a,HRV_SD1d,HRV_SD1a,HRV_C2d,HRV_C2a,HRV_SD2d,HRV_SD2a,HRV_Cd,HRV_Ca,HRV_SDNNd,HRV_SDNNa,HRV_ApEn,HRV_SampEn,max GSR,min GSR,mean GSR,number of peaks,number of peaks SCIPY,number of valleys,mean time between peaks,median time between peaks,mean height of peaks,median height of peaks,variance height of peaks,ratio of peaks,ratio of valleys,labels
103,0.46722258623985446,0.05412237303268358,0.35590833719381043,0.07858108769912651,0.05412526991019634,0.09204701225167672,0.06221183922762965,0.3283358320839581,0.09890109890109892,0.14023309101503692,0.08802228412256269,0.5820147137131694,0.7851724138799353,0.047783382001592774,0.7323852618425855,0.20192498761701955,0.09343147599893446,0.002937960454980404,0.035516218836450474,0.5061782438797734,0.49440720820875594,0.639069350092793,0.05412526991807045,0.08932913942055988,0.3397095225519921,0.01044037791368807,0.1300447986902783,0.29153484831668597,0.06602331412795558,0.4977492160709359,0.5007047214489263,0.7112323781797756,0.0,0.7641259896163204,0.7599486308173609,0.7746369852477657,0.3531889193172413,0.5133015083970706,0.48669849160292955,0.051046941528041,0.06327160122912495,0.5937452146285479,0.4062547853714521,0.08839754261982674,0.07751273255034835,0.5881160581045456,0.41188394189545435,0.0815655436659479,0.07285145054531492,0.6822803135863387,0.5263447963130131,0.6173164882106885,0.7036304418053566,0.6677331664734941,0.2062804547915539,0.16073619631901842,0.11700133868808567,0.26957265157459565,0.21204982158403943,0.06714043970030915,0.03333305534169865,0.014430139779851659,0.1375718559591498,0.07534516765285997,1
104,0.5118072128356213,0.04165739654804833,0.31604500802907054,0.09314306312089286,0.041636270496068384,0.11361640724261751,0.050752330883820966,0.28260869565217395,0.1153846153846154,0.17249434277023884,0.10417827298050142,0.37734482446006223,0.6202816308784104,0.061587470135386256,0.8432259781985578,0.08248297768856797,0.0203711362111768,0.0008389505669286863,0.07004211145491988,0.6768729184441586,0.3232763808578162,0.4140218058685393,0.041636270501328974,0.11500906205170384,0.22749693227987128,0.010256983815005933,0.20707420325563705,0.2891460325865143,0.1288636679312849,0.445272728738238,0.43722317818154044,0.6228805292326636,0.0,0.6820425923117122,0.7003661407787094,0.6660948759258645,0.38213041486312527,0.4962318541724988,0.5037681458275012,0.03909388117520378,0.04981688917573109,0.6123080175343028,0.38769198246569725,0.1146584032865994,0.0988981842145863,0.6028967623244504,0.3971032376755495,0.0991658696125455,0.08713949553772787,0.7395126223171287,0.3612400414116034,0.7113245481671387,0.6888211638282808,0.7182566803704682,0.40552246886843535,0.45276073619631907,0.49397590361445787,0.4183072364645672,0.3238862797513212,0.3102472930998769,0.2783001696464063,0.08894833691264299,0.1995990163369516,0.2445759368836292,0
105,0.5170812634845552,0.07024696605281464,0.31191550621635467,0.17328925053727484,0.07019044263930958,0.206305906127433,0.08426777597964427,0.2942278860569715,0.1112637362637363,0.16414711199767712,0.08969359331476323,0.3288675839694716,0.45747254500865553,0.23838598354127957,0.7529875855156749,0.18282200744141827,0.01588866140400831,0.0009614608716787865,0.19792804883122253,0.8726211489142458,0.1272027876750849,0.3788258984527275,0.07019044264535088,0.21521636201266559,0.20077258146172772,0.02437817454256693,0.23439135307516365,0.41259402909176335,0.24519868721221108,0.454876434020972,0.4345376402513036,0.6542686858757363,0.10450819706531761,0.686430050854701,0.708518053407375,0.6662806575516615,0.39954202149547546,0.4467826047796247,0.5532173952203752,0.061121421700023174,0.08695369425032354,0.876988544959191,0.12301145504080901,0.25121290701260546,0.14158069079624439,0.8415428821070083,0.1584571178929915,0.21353762865890374,0.12772713321043888,0.7743961872930192,0.2410171541808958,0.47618464289094986,0.5333346834684151,0.5084246039893595,0.24526258798050896,0.34969325153374237,0.3815261044176707,0.5429593107459761,0.37482679550220105,0.018730162796487773,0.009115131174062362,0.0010036242407625402,0.11423335369578498,0.178698224852071,0
106,0.5025541787663386,0.05638063963000081,0.32439851695723465,0.05604934159637254,0.05657690815100884,0.07024614767419976,0.06715690480009515,0.3005997001499251,0.0631868131868132,0.09602367114048113,0.05459610027855153,0.508048428513673,0.59992234687553,0.03451022033448368,0.6470588234942773,0.34655401260752916,0.13685764235865885,0.0029951319305304503,0.0422545679615183,0.551410666074527,0.4495141471579849,0.6967840944494762,0.05657690816462129,0.05597658663700879,0.464549329557037,0.00816589381324611,0.08142728514765504,0.2590735944876681,0.02388229271516841,0.38920574196031266,0.39291641017512935,0.6560124725878305,0.06250000066406249,0.7166176166247293,0.7281210816414245,0.7073264460367534,0.23966248993276995,0.5055256377360811,0.49447436226391883,0.05278874416167277,0.06659587709015746,0.8339041256032926,0.16609587439670748,0.0737996581018906,0.028404356565767716,0.7686326187264431,0.23136738127355677,0.07099960256249174,0.03720338998987672,0.35117153826427144,0.5118803210651167,0.9204441442488986,0.9770935377619149,0.9830447266173957,0.6318354087709799,0.6662576687116565,0.6358768406961178,0.25065095779607355,0.19088208605657808,0.320296697516509,0.35063222627410673,0.10945889476949223,0.6381748977961562,0.6370808678500987,1
107,0.5151174294269407,0.04655822590028444,0.3130409189435558,0.04650749314681506,0.04675868932145162,0.06048832284202666,0.05664384226923195,0.2856071964017991,0.039835164835164846,0.06553592001054284,0.036211699164345405,0.4627273669818693,0.6542765503014166,0.022564374834085472,0.4977375565340595,0.4958058420232881,0.14444619801138467,0.0038853734783811785,0.05894622696329016,0.6356039183088878,0.3649877119893953,0.704964751478064,0.04675868932749922,0.04905941158766498,0.429614629537144,0.0065160959269099355,0.09264758433623796,0.23063417641235406,0.024611536031291945,0.4717391321369032,0.488465024257846,0.7112323781797756,0.06250000066406249,0.6658976143888506,0.6883195727919216,0.6454254788276232,0.48907956314517254,0.5103775040669289,0.48962249593307106,0.044290455941516024,0.0549194276866112,0.7163156501615711,0.28368434983842894,0.05880044170701988,0.03221699055516826,0.683436523564357,0.3165634764356428,0.05700755120075444,0.03660135128532723,0.35986476607517454,0.5948040359431608,0.9890820138734779,0.9811255404111806,0.9573322316793403,0.2788305360043314,0.6110429447852761,0.571619812583668,0.22986325006538855,0.10786501698323749,0.3941917274149624,0.19112008192797836,0.5050885097186191,0.30611030183418697,0.5996055226824457,1
