ibi,bpm,sdsd,rmssd,pnn50,pnn20,pnn50pnn20,lf,hf,vlf,flf,Vhf,fvlf,maxSig,minSig,meanSig,sdSig,varSig
869.6330645,68.86093686,530.4827654,86555.98198,0.48582996,0.48582996,1,2.26E-09,3.74E-07,4.48E-10,2.48E-08,8.08E-08,8.02E-09,0.458995251,-0.368184834,-5.25E-06,0.089310141,0.007976301
829.3340961,72.41524688,473.1390803,117484.2757,0.470183486,0.470183486,1,3.59E-09,1.84E-08,1.24E-09,2.19E-09,1.36E-08,7.70E-10,0.472329225,-0.344184226,6.65E-06,0.091891651,0.008444076
822.9522673,72.92763958,468.0735206,126169.6052,0.488038278,0.488038278,1,1.60E-07,3.79E-07,5.48E-08,7.12E-12,5.28E-10,2.03E-12,0.517126254,-0.350083575,4.59E-05,0.089667399,0.008040242
833.43309,71.92339809,480.7202148,58416.40993,0.497560976,0.497560976,1,1.12E-09,4.64E-09,3.63E-10,6.27E-09,1.39E-08,2.10E-09,0.440696337,-0.334534003,3.73E-06,0.085959561,0.007389046
831.2335766,72.0889184,476.2551161,62237.85397,0.501831502,0.501831502,1,5.66E-08,1.13E-07,1.83E-08,7.76E-09,2.37E-08,2.39E-09,0.470521487,-0.356258272,-3.38E-05,0.086951574,0.007560576
854.3390805,70.19449305,493.5154241,70517.7029,0.492795389,0.492795389,1,2.86E-09,3.18E-08,6.33E-10,1.47E-09,5.43E-09,4.59E-10,0.43883934,-0.332795492,-5.29E-06,0.087559512,0.007666668
818.875,73.27238931,447.5948878,107990.2379,0.477806789,0.485639687,0.983870968,2.96E-09,7.57E-08,1.56E-10,8.64E-09,3.44E-08,2.98E-09,0.466282041,-0.358669446,2.09E-06,0.092641904,0.008582522
797.2554348,75.37227794,435.0487943,120383.4228,0.448087432,0.453551913,0.987951807,9.70E-08,2.11E-07,3.04E-08,1.76E-07,4.97E-07,5.37E-08,0.490130144,-0.341027822,5.52E-05,0.092682745,0.008590091
790.180791,75.99314069,440.3677569,137880.5654,0.4375,0.4375,1,1.21E-09,3.91E-08,2.38E-11,3.59E-11,2.10E-09,4.97E-12,0.470417338,-0.346305144,-3.91E-07,0.091394048,0.008352872
751.9233954,79.87985014,368.6265978,129213.7482,0.43153527,0.46473029,0.928571429,2.32E-07,8.89E-07,8.15E-08,1.20E-09,1.83E-08,3.78E-10,0.537260964,-0.450431008,5.40E-05,0.106160514,0.011270055
