max GSR,min GSR,mean GSR,number of peaks,number of peaks SCIPY,number of valleys,mean time between peaks,median time between peaks,mean height of peaks,median height of peaks,variance height of peaks,ratio of peaks,ratio of valleys
7.235249936,6.516076586,6.837263047,1.38E-05,1.10E-05,1.10E-05,212209,211787,0.030506429,0.015768827,0.001056668,3.80E-11,3.04E-11
8.039645494,7.436265874,7.667667305,3.76E-05,2.32E-05,2.32E-05,192271,198624.5,0.047913411,0.040782627,0.001548372,1.09E-10,6.70E-11
10.9376391,7.880493067,8.740084992,4.36E-05,4.07E-05,3.78E-05,139522,126427,0.179700774,0.191133738,0.013172642,1.27E-10,1.10E-10
9.546814847,7.239407027,7.874267949,3.50E-05,3.93E-05,3.50E-05,87011,73292,0.159830633,0.118984523,0.033054342,1.53E-10,1.53E-10
10.68793819,6.668558144,8.096884518,3.35E-05,3.35E-05,3.35E-05,167912,175106,0.124608391,0.119787893,0.00517908,1.12E-10,1.12E-10
7.425374256,6.192187272,6.554662631,6.34E-06,6.34E-06,3.17E-06,18009,18009,0.042732478,0.042732478,0.002114267,2.01E-11,1.01E-11
9.562047314,7.347957402,8.458958027,5.43E-05,3.40E-05,4.07E-05,72755,72677,0.079429607,0.080564179,0.000897472,3.69E-10,2.77E-10
7.14241871,5.938823718,6.321233281,3.56E-05,2.13E-05,2.13E-05,72886,70608.5,0.031099504,0.012985382,0.001517209,2.53E-10,1.52E-10
8.315205597,6.050964139,6.89773134,2.75E-06,2.75E-06,2.75E-06,0,0,0.052250821,0.052250821,0,7.57E-12,7.57E-12
9.634377285,7.084552984,8.030846587,3.11E-05,2.07E-05,2.07E-05,74179,50521,0.076351522,0.026744549,0.011007616,1.61E-10,1.07E-10
8.204040983,7.265675753,7.740370543,3.43E-05,2.06E-05,2.06E-05,47775,51324.5,0.0225722,0.024887115,0.000263325,2.35E-10,1.41E-10
9.087810986,6.26067175,7.337357583,4.15E-05,3.69E-05,3.69E-05,98044,105043,0.084612865,0.053463062,0.003841224,1.91E-10,1.70E-10
7.759171277,5.531713879,6.336071576,1.65E-05,8.27E-06,8.27E-06,223558,221004,0.009636133,0.004143314,0.000107882,4.56E-11,2.28E-11
10.42301757,5.586597164,6.945498813,2.89E-05,3.76E-05,3.76E-05,213931,219818,0.160755545,0.129741591,0.016282071,8.37E-11,1.09E-10
8.464736181,5.969472144,6.74019407,2.33E-05,1.45E-05,1.75E-05,163380,97471,0.05133163,0.029426495,0.00325769,6.77E-11,5.08E-11
9.613882781,6.39351067,7.290371073,1.75E-05,1.31E-05,1.31E-05,47531,33233,0.248393535,0.1648054,0.060982324,7.64E-11,5.73E-11
10.59764701,7.503763636,8.605299251,3.35E-05,2.35E-05,2.35E-05,93681,76735,0.108267488,0.060367833,0.009148881,1.12E-10,7.87E-11
11.33490112,7.025535604,8.200142134,2.85E-05,2.54E-05,2.54E-05,122369,110340,0.224177481,0.171396013,0.028167585,9.06E-11,8.05E-11
7.272172359,6.739013321,6.959217353,4.75E-05,2.04E-05,2.72E-05,60869,62176.5,0.032389802,0.016076574,0.00100398,3.23E-10,1.84E-10
8.901456587,7.44596294,7.921208623,5.69E-05,6.40E-05,5.69E-05,75908,92579,0.099363746,0.057799241,0.006047753,4.05E-10,4.05E-10
21.09636567,17.94614529,18.86851986,1.93E-05,3.30E-05,3.03E-05,180510,179375.5,0.214367784,0.242993495,0.020170452,5.30E-11,8.32E-11
25.7642176,21.47011257,22.95072685,4.15E-05,3.63E-05,3.63E-05,81170,60579,0.189745198,0.168745782,0.017027128,2.15E-10,1.88E-10
25.31235246,20.7667131,21.96973134,4.11E-05,3.43E-05,3.43E-05,76499,82027,0.22255832,0.147609774,0.049191878,2.82E-10,2.35E-10
32.22680522,25.54833136,27.52765813,6.45E-05,7.37E-05,6.91E-05,106292,101374,0.373769513,0.381202145,0.014327443,2.97E-10,3.19E-10
20.0144298,17.35929928,18.27244152,1.65E-05,1.38E-05,1.38E-05,83725,63346,0.053138844,0.029875341,0.003313964,4.56E-11,3.80E-11
21.97284012,18.53777058,19.46026604,1.45E-05,2.32E-05,2.32E-05,123258,135824.5,0.293300992,0.240082156,0.089138655,4.19E-11,6.70E-11
24.65577543,19.42544456,20.68155732,2.04E-05,2.33E-05,2.33E-05,102497,62582.5,0.31674281,0.146612393,0.074730503,5.93E-11,6.77E-11
22.47247877,19.72583284,20.60678879,3.50E-05,2.62E-05,2.18E-05,103961,90816,0.226982572,0.150821494,0.0474898,1.53E-10,9.54E-11
27.36848631,23.37270917,24.78400811,7.04E-05,6.03E-05,5.70E-05,150679,154033,0.283667676,0.269133195,0.035032366,2.36E-10,1.91E-10
18.68455801,16.99498966,17.59517464,3.49E-05,2.85E-05,2.85E-05,137896,121142.5,0.048370623,0.026157234,0.002066307,1.11E-10,9.06E-11
30.39878112,26.39494424,27.90946281,9.51E-05,8.15E-05,7.47E-05,73387,75458,0.260303981,0.220672096,0.023868412,6.46E-10,5.07E-10
29.43246956,24.5063068,25.80883604,4.98E-05,4.98E-05,4.98E-05,65349,56624.5,0.344620259,0.37379743,0.041131982,3.54E-10,3.54E-10
11.89638039,8.079311134,8.988783086,2.20E-05,2.20E-05,2.20E-05,159247,182264,0.096030305,0.059782351,0.011551025,6.05E-11,6.05E-11
10.74156067,6.694656318,7.807711892,1.04E-05,2.07E-05,1.56E-05,8413,8413,0.274680861,0.274680861,0.016152024,5.37E-11,8.06E-11
9.968461885,6.764617331,7.577881065,1.37E-05,1.37E-05,1.37E-05,124795,124795,0.241432513,0.241432513,0.092359334,9.39E-11,9.39E-11
12.99632434,9.387875829,10.6517126,5.99E-05,5.53E-05,5.53E-05,104427,110089,0.263531918,0.220591456,0.044305385,2.76E-10,2.55E-10
14.18919092,8.518105534,9.715196099,1.38E-05,1.93E-05,2.20E-05,155567,150034.5,0.234743706,0.119640442,0.103212565,3.80E-11,6.07E-11
9.220855983,5.881868538,6.503600787,8.68E-06,5.79E-06,2.89E-06,205889,205889,0.225445828,0.13443897,0.069552147,2.51E-11,8.37E-12
9.682769532,5.92446378,6.73953765,2.91E-06,8.73E-06,5.82E-06,0,0,0.506892827,0.506892827,0,8.47E-12,1.69E-11
8.086682665,6.288421181,6.768558294,1.31E-05,1.31E-05,8.74E-06,175215,175215.5,0.118084399,0.125111762,0.008123453,5.73E-11,3.82E-11
9.757935825,7.248012042,7.875355077,3.35E-05,4.02E-05,3.69E-05,140965,146023,0.12572346,0.079444935,0.013131574,1.12E-10,1.24E-10
11.55717642,8.462489583,9.672183147,3.49E-05,3.81E-05,3.81E-05,140956,102072.5,0.101577342,0.05163938,0.011657417,1.11E-10,1.21E-10
14.0633488,9.476651371,11.03101892,4.75E-05,5.43E-05,5.43E-05,58962,61062,0.701955523,0.824580345,0.076793745,3.23E-10,3.69E-10
10.6986291,7.428583641,8.384868817,5.69E-05,4.98E-05,4.98E-05,57252,55231,0.075168968,0.082172266,0.004277113,4.05E-10,3.54E-10
15.39191749,13.39068369,14.13693974,4.68E-05,4.40E-05,4.40E-05,152652,154548,0.140852625,0.140408998,0.009500197,1.29E-10,1.21E-10
15.89063378,13.92975045,14.64587899,4.15E-05,3.63E-05,3.63E-05,80028,73902,0.146875093,0.158004726,0.011596818,2.15E-10,1.88E-10
15.71333342,14.69279159,15.21431334,6.85E-05,6.17E-05,5.48E-05,68852,61501,0.130595357,0.133999968,0.002114748,4.69E-10,3.75E-10
17.4746571,12.62898596,15.86632124,7.37E-05,6.45E-05,6.45E-05,95744,93903,0.130484274,0.115027081,0.005687292,3.40E-10,2.97E-10
14.87832871,13.30069971,13.97597218,4.41E-05,4.13E-05,4.13E-05,176005,165628,0.112102201,0.086149463,0.007049729,1.21E-10,1.14E-10
11.99460651,10.2257979,11.1287454,3.76E-05,3.47E-05,3.18E-05,131687,119591,0.082702716,0.051822805,0.00677906,1.09E-10,9.21E-11
13.52871494,11.13744676,12.1990243,3.49E-05,2.62E-05,2.62E-05,174671,182921,0.025610875,0.017404294,0.0004821,1.02E-10,7.62E-11
14.92592602,12.23982951,13.40008981,2.18E-05,2.18E-05,2.18E-05,56441,35896.5,0.122768467,0.071542707,0.016228224,9.54E-11,9.54E-11
17.47705749,14.12364788,15.65049053,6.03E-05,5.36E-05,5.36E-05,136777,130785,0.224117948,0.244112175,0.017203556,2.02E-10,1.80E-10
13.71289306,12.50400562,13.03269265,2.85E-05,3.81E-05,3.81E-05,163632,177930.5,0.067459248,0.034657415,0.003964068,9.06E-11,1.21E-10
13.08625012,11.39187193,12.15596198,4.75E-05,4.07E-05,4.75E-05,52912,55772.5,0.121091091,0.114325158,0.007597345,3.23E-10,3.23E-10
13.08428003,11.98854208,12.33996718,4.27E-05,4.98E-05,4.27E-05,55541,45503,0.072336269,0.067588844,0.001970885,3.04E-10,3.04E-10
18.00548194,15.88883702,16.74669459,1.10E-05,1.38E-05,1.38E-05,72379,67910,0.132813364,0.085667092,0.019110218,3.03E-11,3.78E-11
20.68733396,16.58409659,17.55803136,1.56E-05,2.07E-05,2.07E-05,47268,47268.5,0.33845262,0.137694048,0.160838114,8.06E-11,1.07E-10
20.43443747,16.98140375,18.23677805,1.37E-05,2.06E-05,1.37E-05,18877,18877,0.439315771,0.439315771,0.177740348,9.39E-11,9.39E-11
30.69476619,24.99634663,28.52574416,7.37E-05,5.99E-05,5.99E-05,105475,102020,0.312250245,0.343298099,0.022528014,3.40E-10,2.76E-10
15.12357714,14.22367234,14.64602126,1.93E-05,2.48E-05,2.48E-05,69895,72069,0.036134267,0.028580767,0.00120106,5.32E-11,6.83E-11
28.41436614,20.92987673,22.66268271,8.68E-06,2.89E-05,2.60E-05,78202,78202,0.396558434,0.132295482,0.240445477,2.51E-11,7.54E-11
24.58436858,20.3273186,21.70452395,2.91E-05,3.49E-05,3.20E-05,93249,76055,0.12826331,0.074459175,0.015822132,8.47E-11,9.31E-11
20.63265533,19.12348001,19.6740378,2.18E-05,1.31E-05,8.74E-06,69054,69171.5,0.075403099,0.037592179,0.008204176,9.54E-11,3.82E-11
23.48081446,18.76013252,21.02000214,4.02E-05,3.69E-05,3.69E-05,107154,105653,0.347378935,0.31164637,0.050571084,1.35E-10,1.24E-10
16.35678841,14.94525225,15.43000116,2.54E-05,2.85E-05,2.85E-05,139085,122270,0.021244093,0.01049865,0.000570605,8.05E-11,9.06E-11
29.81650405,25.83293132,28.07404966,6.11E-05,5.43E-05,4.75E-05,64207,62266.5,0.358621708,0.392567041,0.062232248,4.15E-10,3.23E-10
31.89602335,25.93185701,27.38905967,2.85E-05,4.98E-05,4.27E-05,58882,35186,0.441291786,0.214114632,0.287165273,2.03E-10,3.04E-10
9.275288928,5.607995165,6.590896701,2.20E-05,3.03E-05,3.30E-05,164255,169546,0.16781812,0.107996316,0.026228027,6.05E-11,9.08E-11
6.159598939,5.585863719,5.800869459,1.56E-05,5.18E-06,5.18E-06,97449,97449,0.003730938,0.000982777,2.40E-05,8.06E-11,2.69E-11
6.803616212,5.921002504,6.165967044,2.74E-05,1.37E-05,1.37E-05,99608,100134,0.048834709,0.034456919,0.002424282,1.88E-10,9.39E-11
8.317932924,6.884995405,7.566999037,5.53E-05,4.15E-05,4.15E-05,116622,111173,0.057539731,0.061707562,0.00104046,2.55E-10,1.91E-10
11.34589481,4.880850589,6.163308386,5.51E-06,1.38E-05,1.38E-05,18709,18709,0.622863313,0.622863313,0.568544458,1.52E-11,3.80E-11
7.80034766,5.87607824,6.323627363,1.45E-05,2.03E-05,2.03E-05,55528,60145,0.067986649,0.034466759,0.005643263,4.19E-11,5.86E-11
6.425494253,5.243470751,5.721734458,5.24E-05,2.91E-06,2.91E-06,166976,169527,0.001478866,0.001259311,6.45E-07,1.52E-10,8.47E-12
5.818597581,5.283538353,5.503517062,1.75E-05,8.74E-06,8.74E-06,105671,143053,0.006541055,0.006333825,1.34E-05,7.64E-11,3.82E-11
11.47256379,7.018891784,8.356918524,6.37E-05,5.03E-05,5.03E-05,143265,140898,0.273527943,0.284442934,0.030826327,2.14E-10,1.69E-10
8.858054849,6.268975671,6.925018286,3.49E-05,3.17E-05,2.85E-05,140422,144483,0.260788928,0.138913466,0.054169847,1.11E-10,9.06E-11
10.9134837,7.450130617,9.197698505,5.43E-05,2.72E-05,2.72E-05,70730,72838,0.151905279,0.116991729,0.020048889,3.69E-10,1.84E-10
6.08161578,5.624600628,5.816940295,4.98E-05,1.42E-05,1.42E-05,61163,58563,0.001740064,0.000901771,2.62E-06,3.54E-10,1.01E-10
3.446786337,3.243944525,3.298878578,4.40E-05,3.58E-05,3.58E-05,201229,225512,0.002444393,0.001891818,6.08E-06,1.21E-10,9.84E-11
5.287105455,4.372631114,4.711453807,1.56E-05,1.04E-05,1.04E-05,20369,20369,0.022559182,0.007341068,0.001194746,8.06E-11,5.37E-11
5.0241116,4.516710654,4.757325643,3.43E-05,2.74E-05,2.06E-05,35722,36056,0.043665968,0.04924702,0.000989292,2.35E-10,1.41E-10
6.474871636,4.387445501,5.438730629,6.45E-05,5.07E-05,4.61E-05,107289,106708,0.073994491,0.060907017,0.002497801,2.97E-10,2.12E-10
