ECG_Rate_Mean,HRV_RMSSD,HRV_MeanNN,HRV_SDNN,HRV_SDSD,HRV_CVNN,HRV_CVSD,HRV_MedianNN,HRV_MadNN,HRV_MCVNN,HRV_IQRNN,HRV_pNN50,HRV_pNN20,HRV_TINN,HRV_HTI,HRV_LF,HRV_HF,HRV_VHF,HRV_LFHF,HRV_LFn,HRV_HFn,HRV_LnHF,HRV_SD1,HRV_SD2,HRV_SD1SD2,HRV_S,HRV_CSI,HRV_CVI,HRV_CSI_Modified,HRV_PIP,HRV_IALS,HRV_PSS,HRV_PAS,HRV_GI,HRV_SI,HRV_AI,HRV_PI,HRV_C1d,HRV_C1a,HRV_SD1d,HRV_SD1a,HRV_C2d,HRV_C2a,HRV_SD2d,HRV_SD2a,HRV_Cd,HRV_Ca,HRV_SDNNd,HRV_SDNNa,HRV_ApEn,HRV_SampEn,max GSR,min GSR,mean GSR,number of peaks,number of peaks SCIPY,number of valleys,mean time between peaks,median time between peaks,mean height of peaks,median height of peaks,variance height of peaks,ratio of peaks,ratio of valleys,labels
36.23893197,73.05603266,1655.886364,110.6801784,73.44841642,0.066840443,0.044118989,1683.5,81.543,0.04843659,114.75,25,52.27272727,602,3.52,0.019425551,0.004089992,0.000110989,4.749532578,0.82219223,0.173110136,-5.499212238,51.93587332,147.9397784,0.351060911,24138.05515,2.848508534,5.089672385,1685.630885,0.625,0.626506024,0.923076923,0.181818182,47.37141233,47.54644717,47.2349497,48.19277108,0.400320889,0.599679111,32.8742318,40.23564311,0.525030158,0.474969842,107.1956319,101.9572191,0.511336567,0.488663433,79.283096,77.505424,0.757023103,1.16315081,6.500643517,2.955364171,4.28802354,4.07E-05,3.40E-05,4.07E-05,48687,50700,0.190378038,0.175990303,0.00469822,2.77E-10,2.77E-10,3
37.38038453,40.72302427,1605.244186,72.23864634,40.95456935,0.045001656,0.025368741,1601,89.6973,0.056025796,114.25,18.60465116,59.30232558,331,4.777777778,0.00663301,0.002103089,1.22E-05,3.15393639,0.758205325,0.240399688,-6.164347942,28.95925371,96.54417285,0.299958587,8783.41301,3.333793537,4.650633414,1287.433358,0.604651163,0.623529412,0.867924528,0.130434783,48.58611825,48.69497334,48.47062979,45.88235294,0.46075865,0.53924135,19.66217665,21.27092807,0.570632746,0.429367254,72.92969733,63.26165157,0.561558751,0.438441249,53.41040134,47.193691,0.53195718,1.432103897,5.366421539,3.13648455,4.198029792,4.27E-05,2.85E-05,2.85E-05,73542,73543,0.084172558,0.085620273,0.004010931,3.04E-10,2.03E-10,3
37.6913063,38.61478693,1591.885463,78.73999507,38.69702424,0.049463355,0.024257265,1599,74.13,0.046360225,102,18.94273128,63.87665198,430,5.044444444,0.005139054,0.002279928,1.22E-05,2.25404241,0.691551248,0.306804896,-6.083611487,27.36292825,108.025349,0.253300994,9286.201918,3.947872393,4.674808233,1705.881173,0.524229075,0.526785714,0.813559322,0,49.17103585,49.19106503,49.15272188,42.41071429,0.427740965,0.572259035,17.89748586,20.70131504,0.573986621,0.426013379,81.84206208,70.50782164,0.565167555,0.434832445,59.23868299,51.96103038,0.924775981,1.269760545,12.01120764,8.370944838,9.118960539,1.65E-05,2.20E-05,1.93E-05,212170,247136,0.225491383,0.213208127,0.024432378,4.54E-11,5.30E-11,1
40.11808035,35.16965684,1495.551181,41.61152707,35.30539416,0.027823539,0.023516184,1493,35.5824,0.02383282,51,18.11023622,57.48031496,214,5.08,0.011186572,0.007852392,6.65E-05,1.424606925,0.585516497,0.411002141,-4.846937045,24.96468363,52.68205441,0.473874527,4131.793822,2.11026325,4.323108752,444.6920135,0.57480315,0.587301587,0.918918919,0.023255814,49.00332226,49.04436556,48.96103736,50.79365079,0.474648701,0.525351299,17.20162783,18.09707159,0.472431175,0.527568825,36.21028781,38.2650482,0.472837909,0.527162091,28.34678944,29.93090304,0.729965954,1.902107526,10.61675776,6.552884505,7.602410703,3.11E-05,3.11E-05,3.11E-05,103778,108125,0.139650772,0.143581633,0.012450007,1.61E-10,1.61E-10,0
38.76226875,31.94288381,1547.827957,40.97284988,32.09931435,0.026471191,0.020637231,1550,42.9954,0.027738968,60,7.52688172,58.06451613,173,4.428571429,0.01947282,0.008622882,0.000104604,2.258272873,0.690518051,0.305772637,-4.753335959,22.69764285,53.13798533,0.427145341,3789.096931,2.341123511,4.285505825,497.6103472,0.602150538,0.615384615,0.964285714,0.133333333,47.92358804,47.9270401,47.9206095,50.54945055,0.461309017,0.538690983,15.42511154,16.66871782,0.537316002,0.462683998,38.95112198,36.1449247,0.525576588,0.474423412,29.62367271,28.14517486,0.653825516,1.817077277,11.73710523,8.062103703,8.898573821,3.43E-05,2.74E-05,3.43E-05,79398,86931,0.243970893,0.154503958,0.061237667,2.35E-10,2.35E-10,0
38.78145965,43.85871586,1547.625899,121.5620122,44.00786416,0.078547414,0.028339352,1562,126.021,0.080679257,177,19.42446043,61.8705036,520,4.964285714,0.004731436,0.000647151,5.62E-06,7.311176044,0.878762541,0.120194417,-7.342930661,31.11825918,168.404208,0.184783145,16463.346,5.411749002,4.923488216,3645.445219,0.474820144,0.481751825,0.772727273,0,51.44282925,51.56081457,51.32718458,51.82481752,0.59021303,0.40978697,23.91247727,19.92504201,0.507539859,0.492460141,119.9742426,118.1785023,0.510270791,0.489729209,86.50325268,84.74422017,0.74650372,0.961853352,14.64693224,8.88633577,12.67025859,5.53E-05,4.61E-05,4.61E-05,108306,110195,0.230760461,0.210329481,0.013893253,2.55E-10,2.12E-10,3
36.85118919,43.6642146,1628.39819,81.51388502,43.76262909,0.05005771,0.026814212,1647,69.6822,0.042308561,101,21.26696833,63.80090498,439,5.525,0.005074225,0.00166416,8.78E-06,3.049120677,0.752053145,0.24664591,-6.398434685,30.94485179,111.262027,0.278125904,10816.46246,3.595493937,4.741055357,1600.167773,0.561085973,0.558139535,0.916666667,0.039473684,49.53320886,49.53550883,49.53228716,46.97674419,0.462521815,0.537478185,21.04582953,22.68717176,0.509985114,0.490014886,79.45582064,77.8846019,0.506577081,0.493422919,58.12122837,57.3616552,0.96438657,1.33638515,14.99455639,6.842081451,9.473160296,2.76E-05,3.31E-05,3.31E-05,107956,78734,0.20931358,0.182046199,0.023447483,7.59E-11,9.11E-11,1
42.73865842,41.71922611,1404.02459,134.6056862,41.7596135,0.095871317,0.029714028,1386,137.1405,0.09894697,187.75,26.2295082,61.47540984,570,5.80952381,0.002237555,0.000572033,3.10E-06,3.911582182,0.795520984,0.203375756,-7.466313655,29.52850589,186.950591,0.157948182,17342.75895,6.331190333,4.946088298,4734.479099,0.418032787,0.421487603,0.676470588,0,47.1033977,47.30613678,46.88328896,52.47933884,0.460566511,0.539433489,20.06147577,21.71129119,0.456905827,0.543094173,126.3688959,137.7730947,0.45699512,0.54300488,90.47530232,98.62252735,0.933621008,1.05303034,13.19726918,8.4815053,10.08543413,4.05E-05,3.47E-05,3.47E-05,133050,114238,0.1684052,0.143775089,0.021884661,1.17E-10,1.00E-10,2
43.68750974,69.31572228,1373.939759,144.0933011,69.44641642,0.104875996,0.050450336,1399,143.8122,0.102796426,204,21.68674699,55.42168675,963,4.882352941,0.010347984,0.004078507,0.000185673,2.537199019,0.708176005,0.279117247,-5.502024295,49.10603198,197.5527698,0.248571721,30476.69285,4.022983774,5.190937948,3179.00635,0.514056225,0.514285714,0.753968254,0.117647059,48.40198064,48.95419219,47.97979073,50.20408163,0.304773246,0.695226754,27.11331,40.95032539,0.516160085,0.483839915,141.9303689,137.4149455,0.503855831,0.496144169,102.1747552,101.3898328,0.904601568,0.942468385,10.40409969,8.879638518,9.307058101,3.78E-05,3.20E-05,3.49E-05,158514,152934,0.057151048,0.031233946,0.003236583,1.10E-10,1.02E-10,2
44.56175007,36.57990276,1346.260355,118.4934332,36.62234097,0.088016729,0.027171492,1325,97.8516,0.073850264,135,14.20118343,59.76331361,508,5.451612903,0.003596129,0.000512969,5.63E-06,7.010419323,0.873965935,0.124666713,-7.575294742,25.89590564,164.1563078,0.157751511,13354.83578,6.339083486,4.832608662,4162.40216,0.402366864,0.403614458,0.641791045,0.075,46.27584822,46.58413679,45.94506121,51.80722892,0.478084867,0.521915133,17.93810049,18.74234375,0.51899366,0.48100634,118.260198,113.8499845,0.517996797,0.482003203,84.57910464,81.58766576,0.854374315,1.058120927,11.08566467,9.564769993,10.29186434,4.81E-05,4.81E-05,4.81E-05,105865,106893,0.08782023,0.074838201,0.002646039,2.10E-10,2.10E-10,2
