,0,1,accuracy,macro avg,weighted avg,name
precision,0.7777777777777778,0.8695652173913043,0.82,0.8236714975845411,0.8255072463768116,RFC
recall,0.875,0.7692307692307693,0.82,0.8221153846153846,0.82,RFC
f1-score,0.823529411764706,0.8163265306122449,0.82,0.8199279711884755,0.8197839135654261,RFC
support,24.0,26.0,0.82,50.0,50.0,RFC
precision,0.6296296296296297,0.6956521739130435,0.66,0.6626409017713366,0.6639613526570048,DTC
recall,0.7083333333333334,0.6153846153846154,0.66,0.6618589743589745,0.66,DTC
f1-score,0.6666666666666667,0.6530612244897959,0.66,0.6598639455782314,0.6595918367346938,DTC
support,24.0,26.0,0.66,50.0,50.0,DTC
